slug,id,cuisine,stars,count,where,available,sold-out
the-dutch,50095,American,4.57,87,Soho,0,30
nikutei-futago,7069,Japanese,4.56,74,SOHO,38,0
bosco,64845,Cocktail Bar,4.55,65,Greenwich Village,59,1
outer-heaven,67378,Lounge,4.64,50,Lower East Side,11,0
lafayette-grand-cafe-and-bakery,52613,French,4.59,47,NoHo,0,29
casa-d-angelo,60516,Italian,4.57,42,Little Italy/SoHo/NoHo/Downtown,366,0
suteishi,54264,*,4.57,42,New York,30,0
mudville9,69586,American,4.57,35,Tribeca,24,0
the-tasting-studio-at-tin-building-by-jean-georges,69863,Event,4.57,33,Pier 17 / South Street Seaport,0,0
buona-notte,58147,Italian,4.56,32,Little Italy,336,0
l-angeletto,70159,Italian,4.64,28,Gramercy Park,92,0
lullaby,67358,Cocktail Bar,4.63,19,Lower East  Side,10,0
rabbit-house-omakase-and-sake-bar,70794,Sushi,4.58,17,New York,8,0
betty,68794,American,4.64,17,New York,10,0
sofias,26713,Italian,4.56,16,Little Italy,0,0
beyond-meat-and-gregorys-broadway,46977,Breakfast,4.6,15,New York,0,0
congee-dim-sum-house-bowery,65231,Chinese,4.62,8,Bowery,30,0
houston-hall,68481,Pub Fare,4.57,7,West Village,41,0
la-rubia,65205,Seafood,4.57,7,New York,23,0
tsurutontan,560,Japanese,4.45,15249,Union Square,30,0
abc-kitchen,5255,American,4.51,12624,Flatiron,59,0
chinese-tuxedo,818,Chinese,4.52,11019,Chinatown,14,0
la-mercerie-at-the-guild,4368,French,4.51,9501,Soho,28,1
lola-taverna,7502,Greek,4.47,6335,SoHo,21,0
abc-cocina,5257,Latin American,4.50,6183,Flatiron,59,1
freemans,223,American,4.48,6018,Lower East Side,14,0
the-spaniard,1435,American,4.49,5644,West Village,30,0
cafeteria,1830,American,4.48,4392,Chelsea,364,1
la-contenta-oeste,1927,Mexican,4.46,3979,Greenwich Village,29,0
hudson-clearwater,5853,American,4.50,3886,West Village,30,0
19-cleveland,3899,Israeli,4.54,3739,Soho,30,0
au-zaatar,3708,Middle Eastern,4.46,3614,East Village,30,0
lil-frankies,10413,Italian,4.50,3611,East Village,120,0
gran-electrica,2001,Mexican,4.54,3324,DUMBO,9,1
el-vez,8493,Mexican,4.54,3280,Battery Park,28,0
terra_nyc,891,Italian,4.46,2788,TriBeCa,30,0
the-bar-room-at-the-beekman,40703,American,4.46,2580,Financial District,32,0
tacombi-bleecker,640,Mexican,4.54,2445,West Village,29,1
mace,3065,Cocktail Bar,4.45,2216,West Village,40,0
sushi-on-jones-w10,5972,Japanese,4.50,2144,West Village,30,0
lure-fishbar-mercer-st,49982,Seafood,4.49,2109,SoHo,42,0
suprema-provisions,7370,Italian,4.52,1998,West Village,60,0
dirty-french,35679,French,4.54,1981,Lower East Side,31,0
soogil,2023,Korean,4.50,1736,East Village,20,0
nom-wah-tea-parlor,483,Dim Sum,4.54,1508,Chinatown,0,12
silver-apricot,10578,Chinese,4.54,1380,West Village,14,0
jackdaw,37849,New American,4.47,1342,East Village,92,0
kissaki-omakase-bowery,54902,Sushi,4.54,1248,New York,14,0
west-village-la-pecora-bianca,58887,Italian,4.52,1239,New York,30,0
gelso-and-grand,52799,Italian,4.54,1133,New York,45,0
toro-loco,7403,Mexican,4.46,1120,Financial District,200,0
canary-club,7964,American,4.47,1102,Lower East Side,18,0
temple-court,54402,American,4.50,1071,Financial District,41,0
grand-bar-and-lounge-at-soho-grand-hotel,10483,American,4.48,1014,SoHo,30,0
white-horse-tavern,6273,American,4.47,1007,Greenwich Village,30,0
the-woo,51429,Korean,4.54,981,Soho,365,0
bandits,51904,American,4.48,972,West Village,14,0
eds-lobster-bar,2427,Seafood,4.49,937,"Soho, little Italy ",45,0
ofrenda,10363,Mexican,4.45,897,West Village,349,1
the-wren,1581,American,4.48,887,Bowery,366,0
randolph-beer-dumbo,1797,American,4.52,847,Dumbo,39,53
ssam-bar,6654,American,4.45,797,Seaport,21,0
cloudm,3233,Cocktail Bar,4.45,796,Lower East Side,60,1
restaurant-at-the-crown-provincetown,64839,Italian,4.45,683,West Village,120,0
bar-verde,8036,Mexican,4.51,646,East Village,364,1
hi-collar,3631,Japanese,4.50,643,East Village,15,0
mr-capri,59674,Italian,4.49,626,New York,25,0
roman-nose,1075,Italian,4.46,585,Jersey City,25,0
sake-bar-decibel,42686,Japanese,4.51,540,East Village,10,2
cook-with-the-pros-virtual-series,28661,Event,4.54,528,Financial District,0,0
la-loteria,50894,Mexican,4.51,524,West Village,84,1
dimes,4043,Local,4.48,518,Chinatown,61,0
lovely-day,36436,Asian,4.52,506,Nolita,7,0
misirizzi,58489,Italian,4.51,492,Noho/East Village,18,0
the-stand-nyc,6937,American,4.49,485,Union Square,0,0
bell-book-and-candle,40644,American,4.47,480,West Village,43,0
foul-witch,67460,American,4.53,471,East Village,0,10
cagen-restaurant,8351,Japanese,4.45,446,East Village,20,0
davids-cafe,3832,American,4.51,444,East Village,24,1
felice-15-gold-street,59610,Italian,4.51,442,Financial District,30,0
gugu-room,60350,Filipino,4.45,427,Lower East Side,78,0
and-son-greenwich-village,65574,Steakhouse,4.46,422,Greenwich Village,20,0
adoro-lei,5510,Italian,4.49,421,Soho/ Tribeca/Hudson Square,10,0
nonna-beppa,52783,Italian,4.51,421,Soho,365,1
sushi-dojo,53195,Sushi,4.49,416,East Village,51,0
bbf,53099,Japanese,4.46,410,Lower East Side,0,0
amityhall,3296,American,4.53,407,Greenwich Village,364,1
casa-bocado,7107,Mexican,4.47,403,Nolita,11,1
figaro-nyc,60931,American,4.45,366,Greenwich Village,30,0
nats-on-bleecker,63996,American,4.49,365,Greenwich Village,20,0
dhom,64696,Southeast Asian,4.47,363,East Village,50,0
jacs-on-bond,69010,Cocktail Bar,4.47,342,NoHo,11,3
singlish,60867,Southeast Asian,4.50,335,Union Square,25,0
cha-kee,54449,Chinese,4.53,332,New York,14,0
grotta-azzurra-restaurant,2968,Italian,4.45,331,Little Italy,30,0
j-spec-wagyu-dining,45268,Japanese,4.46,303,East Village,51,0
two-hands-tribeca,7991,Australian,4.52,282,Tribeca,59,1
borrachito-taqueria-spirits,50732,Cocktail Bar,4.51,279,East Village,13,1
excuse-my-french,55198,French,4.48,265,New York,8,0
somtum-der-east-village,61156,Thai,4.54,251,East Village,7,0
bongos,59853,American,4.50,220,Lower East Side,0,0
post,58469,American,4.49,211,New York,30,1
trapizzino,53071,Italian,4.53,207,New York,14,0
les-trois-chevaux,51336,French,4.54,200,West Village,41,2
saito,60244,Japanese,4.47,188,Nolita,25,0
champers-social-club,60445,American,4.48,182,Soho,29,0
sushi-on-jones-les,59384,Sushi,4.53,180,New York,30,0
dream-logic,51540,Cocktail Bar,4.52,171,Tribeca,0,0
le-salon-cocktail-bar-and-lounge,65316,Cocktail Bar,4.49,152,New York,21,0
phebes-tavern-and-grill,55708,American,4.54,148,New York,7,0
locanda-verde,52612,Italian,4.54,147,TriBeCa,0,30
jacks-wife-freda-soho,59168,Mediterranean,4.45,143,New York,30,0
pulqueria-ny,53767,Mexican,4.52,143,Chinatown,157,0
primos,58847,Cocktail Bar,4.49,104,New York,8,0
the-ten-bells,5748,Tapas,4.51,104,Lower East Side,0,14
mostrador-nyc,66593,Argentinean,4.53,94,Tribeca,20,0
pine-and-polk,68670,Cocktail Bar,4.54,84,New York,21,0
the-gray-mare,50424,American,4.5,82,East Village,14,0
wallse-next-door,54586,Cocktail Bar,4.5,74,West Village,2,24
justines-on-hudson,70863,Restaurant + Wine Bar,4.49,69,West Village,43,0
fulton-fish-co-at-tin-building-by-jean-georges,69819,Seafood,4.45,55,Pier 17 / South Street Seaport,30,0
shikku-at-tin-building-by-jean-georges,69818,Sushi,4.47,44,Pier 17 / South Street Seaport,30,0
lena-west-village,66743,French,4.45,44,West Village,29,0
gaia-and-loki,62922,Vegan & Plant-based,4.53,39,Jersey City,5,0
cafe-mish-mosh,68074,Lebanese,4.47,36,Chinatown,14,0
fathers-study,69267,Cocktail Bar,4.51,29,New York,4,0
the-standard-biergarten,58621,German,4.53,28,Meatpacking,21,9
ding-a-ling,58891,American,4.53,26,New York,43,0
the-original-buddha-bodai-kosher-vegetarian-restaurant,69916,Vegetarian,4.5,20,Chinatown,6,1
batard,52972,Modern European,4.45,20,Tribeca,0,12
numero-28-east-village,59218,Italian,4.47,17,New York,15,0
bluestone-lane-battery-park,50766,Australian,4.47,17,Battery Park,29,1
fornino-bk-bridge-park,69691,Pizza,4.5,8,Brooklyn Heights,16,0
west10west,70128,Restaurant + Wine Bar,5.0,4,West Village,15,0
bayleaf-modern-indian-cuisine-and-bar,63515,Indian,4.25,4,Birmingham,30,0
esquires-taste-of-two-cities,8523,Southeast Asian,5.0,3,Nolita,0,0
kanoyama,70087,Sushi,5.0,3,New York,9,7
lounge-on-pearl,68980,*,5.0,3,Financial District,30,0
beyond-meat-and-gregorys-jersey-city,46976,Breakfast,5.0,3,Jersey City,0,0
gran-via,70897,Tapas,5.0,2,Financial District,0,0
caviar-bar-at-tin-building-by-jean-georges,69864,Seafood,5.0,2,Pier 17 / South Street Seaport,30,0
wine-bar-at-tin-building-by-jean-georges,69862,Wine,5.0,2,Pier 17 / South Street Seaport,30,0
pappas-new-york,70865,Greek,5.0,1,Greenwich Village,102,0
spring-cafe-aspen-nyc,70634,Vegetarian,5.0,1,New York,6,0
london-and-martin-co,70158,Gastropub,5.0,1,New York,45,0
pig-bar,71442,Beer,5.0,None,Lower East Side,0,10
junsui,71406,Sushi,5.0,None,Brooklyn,75,0
reginas-grocery,71230,Italian,5.0,None,Willamsburg,14,0
amex-gold-card-presents-milk-bar-virtual-baking-class-with-christina-tosi-powered-by-resy,70709,Event,5.0,None,New York,0,0
osteria-carlina-tribeca,67719,Italian,5.0,None,Tribeca,51,0
antica-ristorante,67245,Italian,5.0,None,Financial District,7,0
cecchis,65784,American,5.0,None,New York,0,0
and-beer,65698,Vegan & Plant-based,5.0,None,New York,15,0
roccos-sports-and-recreation,65680,Contemporary American,5.0,None,New York,0,12
the-fulton-by-jean-georges,5932,Seafood,4.42,11954,The Seaport,31,0
liberty-bistro,175,French,4.35,6407,Battery Park City,20,0
12-chairs-soho,4994,Israeli,4.44,5775,Soho,60,0
dhamaka,48994,Indian,4.43,5391,Essex Market,2,23
saint-theos,52984,Italian,4.39,3773,West Village,21,0
kimika,30248,Asian,4.35,3324,Nolita,14,0
aria_west_village_nyc,892,Italian,4.39,3174,West Village,30,0
vestry,10434,American,4.39,2243,SoHo,24,0
veranda,50229,American,4.40,2222,SoHo,31,6
kyu,64154,Asian American,4.44,1986,Noho,30,0
loreley-beer-garden,1190,German,4.36,1917,Lower East Side,45,0
dr-clark,32520,Japanese,4.38,1865,Chinatown,61,0
the-django,58129,American,4.42,1805,TriBeCa,89,1
pinto-garden,5202,Thai,4.39,1803,West Village,30,0
momoya-soho,59558,Japanese,4.44,1783,SoHo,30,0
canto-west-village,55598,Italian,4.44,1481,New York,58,1
circa-brewing-company,1444,New American,4.44,1478,Downtown Brooklyn,92,0
sel-rrose,5787,Oysters,4.39,1413,Lower East Side  /  Bowery,92,0
st-tropez-soho,4373,French,4.42,1343,Soho,87,0
mono-and-mono,59569,Korean,4.36,1115,New York,150,0
employees-only-nyc,35203,Cocktail Bar,4.41,1112,West Village,14,0
8-north-miznon,59072,Mediterranean,4.35,1082,Greenwich Village,38,0
the-happiest-hour,3622,American,4.38,1045,West Village,14,0
hunan-slurp-nyc,3221,Chinese,4.43,1026,East Village,25,0
the-malt-house-fidi,3011,American,4.38,989,Financial District,365,0
negril-village,8525,Caribbean,4.43,923,West Village,109,0
holiday-bar,65291,International,4.36,869,West Village,20,0
lupa-osteria-romana,62872,Italian,4.39,826,Greenwich Village,30,0
yes-apothecary,60980,Szechuan,4.38,767,New York,52,0
mezcali-new-york,55202,Mexican,4.44,751,New York,90,0
bar-pasquale,53107,Italian,4.43,746,Nolita,21,0
p-j-clarkes-on-the-hudson,64563,American,4.39,587,New York,43,2
il-cortile-ny,64898,Italian,4.40,529,Little Italy,313,0
hancock-st,52316,American,4.40,514,West Village,34,6
fouquets-new-york,66647,Brasserie,4.36,480,TriBeCa,30,0
balade,10672,Mediterranean,4.40,448,East Village,180,0
smith-and-mills,42588,European,4.37,446,Tribeca,30,0
the-egg-shop-pa,57493,American,4.44,357,New York,14,1
seamores-brookfield,59703,Seafood,4.42,330,Battery Park,60,0
little-rebel,52654,American,4.43,321,New York,61,0
claw-daddys-les,64710,Creole,4.44,292,Lower East Side,60,0
two-hands-noho,8630,Australian,4.38,272,Noho,29,1
stout-nyc-fidi,1710,Burgers,4.43,255,Financial District,21,0
empellon-taqueria,66436,Mexican,4.42,242,West Village,31,0
t-brasserie-at-tin-building-by-jean-georges,69821,Brasserie,4.35,241,Pier 17 / South Street Seaport,30,0
citizens-of-soho,60841,Breakfast,4.38,213,Soho,365,1
harveys-at-union-station,65716,American,4.35,203,Kansas City,150,1
grand-banks,65747,Seafood,4.42,200,Tribeca,118,1
club-room-at-soho-grand-hotel,10482,American,4.41,200,SoHo,16,0
the-frenchmans-dough-at-tin-building-by-jean-georges,69822,Italian,4.39,169,Pier 17 / South Street Seaport,30,0
two-hands-nolita,58125,Brunch,4.36,166,Nolita,20,0
saishin-by-kissaki,57174,Japanese,4.42,157,Meatpacking District,41,0
caliza,64583,Mexican,4.37,154,Tribeca,183,1
souvlaki-gr-les,8237,Greek,4.38,128,Lower East Side,30,0
red-lion,49459,American,4.44,125,West Village,30,0
the-garden-at-the-standard-east-village,59993,American,4.35,124,New York,116,4
jacks-wife-freda-chelsea,59166,Mediterranean,4.39,121,Chelsea,30,0
montes-trattoria,40736,Italian,4.40,106,Greenwich Village,90,0
red-feather,65440,New American,4.41,105,Greenwich Village,260,0
fiat-cafe,51814,Italian,4.35,89,Nolita,30,0
kebaya-restaurant,69261,Malaysian,4.36,83,Union Square,52,0
the-paris-cafe,64112,French,4.38,76,Financial District,12,0
rabbit-house,64995,Japanese,4.44,74,Lower East Side,51,0
schilling,10392,European,4.41,67,Financial District,26,0
par-ici-cafe,66645,Cafe,4.39,63,TriBeCa,29,1
papatzul-soho,65224,Mexican,4.39,63,New York,245,0
isabella-ny,50831,Italian,4.40,62,East Village,16,0
the-nook-nyc,65606,New American,4.37,56,New York,25,0
thalassa-restaurant,53176,Mediterranean,4.42,49,Tribeca,44,0
wuish-kitchen-and-bar,68493,Chinese,4.43,44,Financial District,61,0
adriennes-pizzabar,68206,Pizza,4.36,11,Financial District,7,0
horus-cafe-on-a,62477,Mediterranean,4.36,11,East Village,61,0
pierre-loti-mediterranean-kitchen-and-bar,70716,Mediterranean,4.37,8,Union Square,29,0
malibu-farm,7192,Californian,4.25,5184,The Seaport,30,0
gupshup,6008,Indian,4.30,3950,Gramercy,30,0
atla,47491,Mexican,4.33,3068,Noho,30,0
arthur-and-sons-ny-italian,56563,Italian American,4.25,2356,West Village,30,0
babs,6600,European,4.28,1781,Greenwich Village,21,0
lokal-eatery-and-bar,47465,New American,4.29,1584,Downtown,60,0
baar-baar,58992,Indian,4.30,1545,New York,77,4
her-name-was-carmen,4042,Latin American,4.27,1488,Soho,34,0
the-butchers-daughter-west-village,4922,Vegetarian,4.28,1421,West Village,14,0
pietro-nolita,3683,Italian,4.28,934,Nolita,18,0
red-paper-clip,43018,New American,4.34,800,West Village,15,1
estuary-at-one15-brooklyn-marina,6813,American,4.27,734,Brooklyn Heights,23,0
bar-tulix,58996,Mexican,4.29,725,Soho,31,5
the-cabinet-mezcal-bar,7036,Cocktail Bar,4.32,649,East Village,64,1
kitchen-and-table,9573,Local,4.25,558,Union Square,27,1
gazab,60097,Indian,4.31,535,Lower East Side,52,0
the-malt-house-greenwich-village,3253,American,4.34,486,Greenwich Village,0,0
route-66-smokehouse,42647,American,4.26,403,Financial District,30,0
the-garret-west,50733,Cocktail Bar,4.27,392,West Village,10,4
the-black-ant,10362,Mexican,4.27,392,East Village,312,0
do-not-disturb,62913,New American,4.34,382,West Village,12,0
chanson-le-salon,58278,Brunch,4.34,312,New York,25,0
attraversa,3134,Italian,4.27,293,Tribeca,0,0
seamores-dumbo,59704,Seafood,4.31,267,DUMBO,60,0
11-tigers,64816,Japanese,4.25,219,East Village,60,0
jane-on-houston,64571,New American,4.26,178,Greenwich Village/ Soho,90,0
oppa-bistro,49478,Korean Gastropub,4.28,169,West Village,21,0
maison-close,64891,French,4.34,153,Soho,27,25
jacks-wife-freda-union-square,70544,Mediterranean,4.33,136,New York,30,0
the-perry-club,57177,Italian,4.28,126,West Village,21,0
seeds-and-weeds-at-tin-building-by-jean-georges,69823,Vegan & Plant-based,4.34,114,Pier 17 / South Street Seaport,30,0
lena-lower-east-side,61066,French,4.35,60,New York,30,0
essex,65390,New American,4.32,53,Lower East Side,184,0
bar-a-vin,54978,French,4.3,50,New York,61,0
maestro-pasta,60111,Italian,4.31,48,Greenwich Village,5,0
upstate-craft-beer-and-oyster-bar,62567,Seafood,4.28,39,New York,25,0
drift-in,69696,Seafood,4.33,21,New York,120,0
khaosan-thai,70636,Thai,4.30,13,Brooklyn Heights,30,0
lamore-restaurant,66709,Italian,4.33,6,New York,60,0
the-standard-grill,52869,American,4.15,2514,Meatpacking,45,0
pasta-eater,8043,Italian,4.23,703,Flatiron,30,0
parm-battery-park-city,7457,Italian,4.17,404,Battery Park,31,0
fig-and-olive-meatpacking,67884,Mediterranean,4.23,324,Meatpacking District,31,0
reyna,66393,Mediterranean,4.22,218,Union Square,25,0
ixta,64726,Mexican,4.24,155,Bowery,29,1
skinos-mediterranean-cuisine,54886,Greek,4.19,151,New York,30,0
benares-indian-restaurant-nyc,58347,Indian,4.22,131,New York,30,0
the-standard-plaza,58636,American,4.22,127,Meatpacking,30,0
iris-cafe,59022,American,4.19,116,Brooklyn,61,0
el-takoy,6021,Tapas,4.18,102,Soho,30,0
slava,64523,European,4.21,98,SoHo,20,0
jimmy,29265,Rooftop Lounge,4.25,96,SOHO,5,0
galli,66530,Italian,4.21,89,New York,29,1
xeo-cantina,61154,Southeast Asian,4.19,71,Noho,42,0
gitano-governors-island,61029,Mexican,4.19,71,Governors Island,27,0
milas-bistro,60604,French,4.17,40,New York,6,0
tribeca-grill,52969,New American,4.22,35,Tribeca,64,2
the-greens,66719,American,4.25,20,New York,0,0
mosa-by-5pointz,65722,Event,4.25,12,New York,360,5
osteria-barocca,70905,Italian,4.2,5,New York,184,0
mezzanine-ny,66378,American,4.2,5,New York,14,1
soho-diner,6790,American,4.06,1329,SoHo,30,0
the-butchers-daughter-nolita,4914,Vegetarian,4.05,983,Nolita,14,0
gilligans,12282,American,4.14,939,Soho,30,0
felix-restaurant,8778,French,4.10,874,Soho,25,0
city-vineyard,9840,American,4.06,740,Tribeca,38,1
lamano-west-village,2537,Tapas,4.07,637,West Village,360,0
sea-wolf-waterfront,52805,Seafood,4.08,447,Williamsburg Waterfront,20,0
temakase,59605,Sushi,4.12,294,East Village,14,0
balzem,49699,Mediterranean,4.13,168,Nolita,30,0
zia-maria,34941,Italian,4.14,128,Little Italy/SoHo/NoHo/Downtown,160,0
tivoli-trattoria,69039,Italian,4.05,70,West Village,30,0
khe-yo,69590,Southeast Asian,4.12,25,TriBeCa,90,0
old-fashion-cafe-soho,68490,Italian,4.05,19,New York,180,0
onieals,69802,Contemporary American,4.14,7,Little Italy,60,0
sona,49671,Indian,3.99,4950,Flatiron,30,1
baby-brasa-nyc,48156,Latin American,3.95,1648,West Village,50,0
buddha-bar-new-york,52850,Asian,3.95,1434,Tribeca,91,1
smyth-tavern,61242,American,4.03,494,Tribeca,39,0
8470,8470,Mexican,3.97,314,Lower East Side,156,1
bistro-leo-presents-lev,59489,Mediterranean,4.03,251,Soho,2,0
grey-lady-nyc,4871,Seafood,4.02,214,Lower East Side,61,0
bistrot-leo,37241,French,4.04,163,Soho,29,1
wild-restaurant,57311,Italian,3.99,111,New York,30,0
moonflower,64117,Natural Wine,4.0,7,New York,0,10
hotel-chantelle,26407,American,3.91,951,Lower East Side,113,3
madam-ji,10242,Indian,3.91,287,Greenwich Village,30,0
bocaphe-2,58969,Vietnamese,3.85,85,Chelsea,25,0
9-jones,65106,Greek,3.94,52,West Village,25,0
ms-yoo,67846,Korean Gastropub,3.89,37,Lower East Side,26,0
altesi-downtown,5403,Italian,3.86,22,Soho,365,0
ol-days-coffee,70910,Brunch,3.85,7,Tribeca,92,0
9656,9656,American,3.83,1387,Exchange Place,0,0
nomo-kitchen,58690,American,3.83,667,New York,59,0
the-tuck-room-fulton-market,27572,American,3.77,147,Seaport District,29,1
the-osprey,65580,Farm to Table,3.83,42,"Brooklyn Heights, Dumbo",20,0
ippudo,70933,Japanese,3.8,5,New York,4,3
short-stories,32967,Cocktail Bar,3.74,231,NoHo,22,0
le-boudoir,60757,French,3.68,63,Brooklyn Heights,16,0
pera-soho,66791,Mediterranean,3.66,18,New York,7,0
bowery-rooftop,64717,Drinks and Snacks,3.72,18,Lower East Side,0,0
lamias-fish-market,6245,Seafood,3.55,420,East Village,366,0
le-bain,54207,American,3.56,378,Meatpacking,19,6
stk-meatpacking,35689,Steakhouse,3.57,110,Meatpacking,90,0
pearl-alley-waterfront-bar,70029,Cocktail Bar,3.63,11,Seaport,7,0
saint-and-saint-speakeasy,58666,New American,3.53,263,East Village,260,0
poco,67678,Spanish Latin Caribbean,3.48,27,New York,260,0
common-ground-nyc,59229,American,3.45,20,New York,27,0
joji,62836,Japanese,4.96,356,Midtown East,15,6
public-display-of-affection,66524,Italian,4.95,190,Park Slope,179,0
sucker-punch,61139,American,4.95,64,New York,106,21
green-pear-heights,59832,European,4.97,42,Jersey City,16,0
aragvi-restaurant,70823,Georgian,5.0,21,Midtown East,61,0
legacy-records-special-events,3685,Italian,5.0,14,Hudson Yards,0,0
molyvos,70907,Greek,5.0,8,Hells Kitchen/Theater District,52,0
wanpaku-hidden-pearl,65439,Japanese,5.0,8,Greenpoint,10,1
keg-and-lantern-brewery-red-hook,66587,Gastropub,5.0,6,"Red Hook, Brooklyn",65,0
glass-house-tavern,70898,Contemporary American,5.0,5,Theater District,25,0
the-four-horsemen,2492,New American,4.86,6778,Williamsburg,0,30
corto,4926,Italian,4.88,4988,The Heights,11,0
razza,1852,Pizza,4.87,4667,Jersey City,23,1
otis,5910,American,4.86,2513,East Williamsburg,25,0
ras-plant-based,10473,Vegan,4.86,1541,Crown Heights,20,0
frankies-wine-bar-fly,3431,Wine,4.85,1320,Carroll Gardens,10,0
the-polo-bar,6439,American,4.92,1318,Midtown East,0,0
sushi-lin,6429,Sushi,4.89,1058,Park Slope,25,0
pomp-and-circumstance,6383,Mediterranean,4.87,945,Williamsburg,26,0
runner-up,59994,Contemporary American,4.87,713,Park Slope,20,1
chili,64822,Szechuan,4.85,706,Midtown Manhattan,60,1
omakase-by-korami,51762,Japanese,4.85,621,Hell’s Kitchen,28,2
okonomi-yuji-ramen,59622,Japanese,4.86,579,"Williamsburg, Brooklyn",13,1
the-kitchen-table-at-the-modern,2789,American,4.92,503,Midtown,17,10
arden-brooklyn,58865,American,4.85,447,Crown Heights,29,0
sundays-well,33634,American,4.85,381,Kips Bay,0,21
panchitas-place,32437,Mexican,4.86,300,Greenwood,30,0
santa-fe-bk,63527,Southwest,4.85,297,Williamsburg,12,0
aromi,59847,Italian,4.85,271,Carrol Garden,154,0
salinas,50746,Spanish,4.86,250,Chelsea,65,0
meadowsweet,68324,New American,4.85,142,Williamsburg,89,0
somtum-der-red-hook,61155,Thai,4.86,91,Red Hook,118,2
aces-pizza,64012,Pizza,4.88,81,Williamsburg,7,0
panzon,70717,Mexican,4.86,65,Greenpoint,10,2
lulu-and-po,67665,New American,4.90,64,"Clinton Hill, Brooklyn",14,0
the-fly,5644,Wine,4.88,50,Bed-Stuy,0,29
390-social,64682,Tapas,4.90,42,Brooklyn,15,0
jora,67698,Peruvian,4.86,38,Long Island City,0,30
heritage-grand-bakery,66835,Mediterranean,4.92,27,Bryant Park,90,0
lingo,69888,New American,4.91,24,Brooklyn,20,0
okonomi-market,68562,Japanese,4.86,15,Williamsburg,1,6
gilda,69231,Mediterranean,4.85,14,New York,20,0
ploo,69627,Mexican,4.87,8,New York,4,0
lilia,418,Italian,4.76,37149,Williamsburg,1,28
le-bernardin,1387,French,4.79,22438,Theater District,29,24
keens-steakhouse,3413,Steakhouse,4.75,21432,Herald Square,114,6
miss-ada,1246,Mediterranean,4.80,11661,Fort Greene,6,0
sushi-seki-23rd,49,Sushi,4.75,10736,Chelsea,25,0
shukette,8579,Middle Eastern,4.83,8536,Chelsea,16,14
le-crocodile,8302,French,4.75,7943,Williamsburg,28,0
kings-co-imperial,608,Chinese,4.83,6370,Williamsburg,59,1
romans,1003,Italian,4.84,5889,Fort Greene,29,1
evelina,1851,Italian,4.77,5884,Fort Greene,41,1
red-hook-tavern,6377,American,4.83,5879,Red Hook,11,3
kochi,8346,Korean,4.77,5450,Hell's Kitchen,29,0
oxalisnyc,3911,New American,4.84,5187,Prospect Heights,19,0
laser-wolf-brooklyn,58848,Israeli,4.76,4741,Williamsburg,11,11
larina,611,Italian,4.77,4677,Fort Greene,31,0
traif,707,American,4.76,4628,Williamsburg,30,0
trattoria-trecolori,50763,Italian,4.76,4526,Midtown West,182,0
haenyeo,4951,Korean,4.82,4422,Park Slope,10,0
sofreh,27154,Persian,4.80,4349,Prospect Heights,2,23
pasta-louise,41761,Italian,4.77,4205,Park Slope,25,0
jua,8266,Korean,4.83,3966,Flatiron District,0,18
the-modern,7369,American,4.80,3848,Midtown,27,0
tonchin-new-york,35883,Japanese,4.78,3747,Midtown East,28,2
viceversa,1578,Italian,4.75,3669,Hell's Kitchen,52,0
buttermilk-channel,5186,American,4.79,3387,Carroll  Gardens,51,0
francie,17392,American,4.78,3363,Williamsburg,21,0
cellar-335,1527,American,4.77,3255,Historic Downtown,21,0
harts,1386,American,4.79,3213,Bedford-Stuyvesant,28,0
robertas-restaurant,6003,American,4.78,3199,Bushwick,30,0
colonia-verde,4626,Latin American,4.80,3115,Fort Greene,29,1
aita-restaurant,3246,Italian,4.76,3032,Clinton Hill,14,0
lalou,6725,American,4.79,2909,Prospect Heights,35,0
nura,54336,New American,4.77,2821,Greenpoint,18,0
hatsuhana-sushi-restaurant,36583,Sushi,4.81,2692,Midtown East,21,1
nami-nori-bk,54466,Japanese,4.75,2619,Brooklyn,14,0
leland-eating-and-drinking-house,37987,Mediterranean,4.81,2591,Prospect Heights,12,0
montesacro,6689,Italian,4.76,2534,Williamsburg,14,0
west-bank-cafe,7489,American,4.78,2472,Hells Kitchen,106,0
etcetera-etcetera,33863,Italian,4.82,2327,Hell's Kitchen,153,0
place-des-fetes,59848,Mediterranean,4.82,2321,Clinton Hill,22,2
mari,54791,Korean,4.78,2166,New York,26,4
bar-bete,8475,French,4.83,2149,Carroll Gardens,25,0
sweetwater-restaurant,8767,American,4.75,2005,Williamsburg,30,0
torishin,1330,Japanese,4.80,1926,Hell's Kitchen,25,0
win-son,8556,Taiwanese,4.84,1923,East Williamsburg,0,25
maison-premiere,51628,Seafood,4.79,1895,Williamsburg,26,4
madre,6094,American,4.77,1845,Greenpoint,15,0
nonna-doras,59960,Italian,4.77,1827,Murray Hill,29,1
leo-nyc,34822,Pizza,4.79,1814,Williamsburg,30,0
olea,49188,Mediterranean,4.75,1787,Fort Greene,29,1
the-marshal,35884,American,4.75,1608,Hell's Kitchen,60,0
michaels-restaurant,50806,American,4.82,1587,Midtown West,70,0
cozy-royale,32431,American,4.75,1581,Williamsburg,30,0
eyval,59419,Persian,4.80,1456,Bushwick,1,17
winonas,42650,European,4.76,1437,Bed-stuy,9,12
el-parador-cafe,6559,Mexican,4.79,1361,Murray Hill-Kips Bay,17,0
